ryhmä	päättelyketju	luokittelupuun loppunoodit
1	Indikaattorisana ei predikaattiverbi → ei eksplisiisiittistä sidosta edeltävään tekstiin → aikamuoto imperfekti  → dependenssirooli ei subj → verbi 1. pers	7
2	Indikaattorisana predikaattiverbi → verbi 1.pers	17 ja 18
3	Indikaattorisana ei predikaattiverbi → ei eksplisiisiittistä sidosta edeltävään tekstiin → liittoaikamuoto 	12
4	Indikaattorisana ei predikaattiverbi → ei eksplisiisiittistä sidosta edeltävään tekstiin → aikamuoto imperfekti → indikaattorisana osa kompleksista lauseketta (dependenssirooli nmod:x)	9
6	Indikaattorisana ei predikaattiverbi → ei eksplisiisiittistä sidosta edeltävään tekstiin → aikamuoto imperfekti → indikaattorisana subjektina	11
8	Indikaattorisana ei predikaattiverbi → ei eksplisiisiittistä sidosta edeltävään tekstiin → aikamuoto preesens	13
13	Indikaattorisana predikaattiverbi → verbi muu kuin 1.pers	19
